activity_id,activity_date,distance_km,moving_time_sec,moving_time_min,pace_min_km,speed_kmh,elevation_gain_m,year,month,year_month,day_name
1,2025-11-12,2.8286,1180,19.666666666666668,6.952791722642533,8.629199999999999,7.4,2025,11,2025-11,Wednesday
2,2025-11-15,3.8331,1464,24.4,6.365604862904698,9.4248,30.8,2025,11,2025-11,Saturday
3,2025-11-16,6.0168,2565,42.75,7.10510570402872,8.4456,9.0,2025,11,2025-11,Sunday
4,2025-11-16,6.0107,2558,42.63333333333333,7.092906538894527,8.46,0.0,2025,11,2025-11,Sunday
5,2025-11-18,6.0244,2452,40.86666666666667,6.783524777017905,8.8452,32.0,2025,11,2025-11,Tuesday
6,2025-11-19,6.0337,2440,40.666666666666664,6.739921883200468,8.9028,31.6,2025,11,2025-11,Wednesday
7,2025-11-19,6.0249,2437,40.61666666666667,6.741467354921521,8.8992,0.0,2025,11,2025-11,Wednesday
8,2025-11-20,7.0297,3047,50.78333333333333,7.224111033661939,8.3052,14.0,2025,11,2025-11,Thursday
9,2025-11-23,0.807,338,5.633333333333334,6.9805865344898805,8.5968,2.6,2025,11,2025-11,Sunday
10,2025-11-23,10.0519,3723,62.05,6.172962325530497,9.72,60.0,2025,11,2025-11,Sunday
11,2025-11-23,10.0488,3718,61.96666666666667,6.166573786588117,9.7308,0.0,2025,11,2025-11,Sunday
12,2025-11-26,15.2437,6466,107.76666666666667,7.069587217451581,8.488800000000001,125.6,2025,11,2025-11,Wednesday
13,2025-11-27,7.1345,2976,49.6,6.952133996776229,8.629199999999999,38.6,2025,11,2025-11,Thursday
14,2025-12-03,8.220799999999999,3265,54.416666666666664,6.61938821850266,9.0648,52.0,2025,12,2025-12,Wednesday
15,2025-12-11,3.6561999999999997,1409,23.483333333333334,6.422879857046479,9.342,31.2,2025,12,2025-12,Thursday
16,2025-12-12,1.1329,521,8.683333333333334,7.664695324682967,7.829999999999999,13.2,2025,12,2025-12,Friday
17,2025-12-12,5.676399999999999,2084,34.733333333333334,6.1189016512813295,9.806400000000002,45.6,2025,12,2025-12,Friday
18,2025-12-13,8.1178,3421,57.016666666666666,7.02365994070643,8.542800000000002,72.2,2025,12,2025-12,Saturday
19,2025-12-14,10.1174,4406,73.43333333333334,7.258122969669415,8.2656,37.0,2025,12,2025-12,Sunday
20,2025-12-16,10.1908,4355,72.58333333333333,7.122437230966493,8.424,55.6,2025,12,2025-12,Tuesday
21,2025-12-18,7.1745,3130,52.166666666666664,7.27112226171394,8.251199999999999,32.2,2025,12,2025-12,Thursday
22,2025-12-18,2.3979,1014,16.9,7.047833520997539,8.514000000000001,16.4,2025,12,2025-12,Thursday
23,2025-12-19,12.015799999999999,5169,86.15,7.169726526739794,8.370000000000001,54.2,2025,12,2025-12,Friday
24,2025-12-20,6.5903,2311,38.516666666666666,5.844448153599481,10.267199999999999,74.6,2025,12,2025-12,Saturday
25,2025-12-21,1.0098,565,9.416666666666666,9.32527893312207,6.4332,39.8,2025,12,2025-12,Sunday
26,2025-12-22,8.0275,3997,66.61666666666666,8.298557043496315,7.228800000000001,70.0,2025,12,2025-12,Monday
27,2025-12-23,3.7235,1451,24.183333333333334,6.494785372185667,9.2376,40.8,2025,12,2025-12,Tuesday
28,2025-12-24,6.1386,2658,44.3,7.216629198840126,8.3124,,2025,12,2025-12,Wednesday
29,2025-12-25,5.0461,2513,41.88333333333333,8.300139381568604,7.228800000000001,50.8,2025,12,2025-12,Thursday
30,2025-12-28,13.0675,5480,91.33333333333333,6.989350168994323,8.586,56.8,2025,12,2025-12,Sunday
31,2025-12-30,5.027100000000001,2453,40.88333333333333,8.132588039492616,7.3764,11.8,2025,12,2025-12,Tuesday
32,2025-12-31,23.5988,9352,155.86666666666667,6.604855614127272,9.0828,133.4,2025,12,2025-12,Wednesday
33,2026-01-02,5.0459,2455,40.916666666666664,8.108893689265873,7.398000000000001,46.4,2026,1,2026-01,Friday
34,2026-01-04,12.438799999999999,5546,92.43333333333334,7.431049082976923,8.0748,151.8,2026,1,2026-01,Sunday
35,2026-01-06,6.077100000000001,2928,48.8,8.030145957775911,7.4736,17.6,2026,1,2026-01,Tuesday
36,2026-01-08,10.0313,4397,73.28333333333333,7.305467220931817,8.2116,42.6,2026,1,2026-01,Thursday
37,2026-01-09,8.0227,3936,65.6,8.176798334725216,7.336799999999999,49.8,2026,1,2026-01,Friday
38,2026-01-10,5.0193,1668,27.8,5.538620923236308,10.8324,33.6,2026,1,2026-01,Saturday
39,2026-01-11,10.0257,4717,78.61666666666666,7.841513975748991,7.65,51.0,2026,1,2026-01,Sunday
40,2026-01-12,10.0323,4601,76.68333333333334,7.643644362043933,7.848000000000001,92.4,2026,1,2026-01,Monday
41,2026-01-13,6.0342,2818,46.96666666666667,7.783412327510965,7.7076,36.4,2026,1,2026-01,Tuesday
42,2026-01-13,10.033299999999999,4579,76.31666666666666,7.606337562583265,7.8876,51.0,2026,1,2026-01,Tuesday
